jobNumber,State,Internal Deadline,Billed,Potential,Estimated
J2,PROGRESS,09/12/2011,,7652.5,7651
J6,PROGRESS,31/03/2012,,0,13400
J7,PROGRESS,14/05/2012,,0,11519.2
J8,PROGRESS,21/05/2012,,0,302.5
J9,PROGRESS,31/03/2013,,0,108000
J10,PROGRESS,23/05/2012,,0,5400
J12,PROGRESS,05/06/2012,,0,5800
J13,PROGRESS,13/06/2012,,0,5407
J14,PROGRESS,12/07/2012,,0,330
J15,PROGRESS,12/07/2012,,0,0
J17,PROGRESS,13/07/2012,,0,30
J18,PROGRESS,13/07/2012,,0,0
J19,PROGRESS,16/07/2012,,0,0
J20,PROGRESS,01/08/2012,,0,0
J21,PROGRESS,09/08/2012,,0,0
J22,PROGRESS,09/08/2012,,0,0
J23,PROGRESS,09/08/2012,,0,0
J24,PROGRESS,10/08/2012,,0,200
J25,PROGRESS,15/08/2012,,0,107000
J26,PROGRESS,10/08/2012,,0,400
J27,PROGRESS,21/08/2012,,0,200
J28,PROGRESS,23/08/2012,,0,400
J29,PROGRESS,23/08/2012,,0,100
J30,PROGRESS,17/09/2012,,0,0
J31,PROGRESS,25/09/2012,,0,0
J32,PROGRESS,04/10/2012,,0,0
J34,PROGRESS,11/10/2012,,0,0
J35,PROGRESS,24/10/2012,,0,100
J36,PROGRESS,25/10/2012,,0,1200
J37,PROGRESS,25/10/2012,,0,28000
J38,PROGRESS,19/11/2012,,0,0
J39,PROGRESS,23/11/2012,,0,0
J40,PROGRESS,06/12/2012,,0,600
J41,PROGRESS,22/01/2013,,0,400
J42,PROGRESS,17/01/2013,,0,1100
J43,PROGRESS,31/01/2013,,0,100000
J44,PROGRESS,31/01/2013,,0,10100
J45,PROGRESS,07/02/2013,,0,600
J46,PROGRESS,15/02/2013,,0,146340
J47,PROGRESS,15/02/2013,,0,0
J48,PROGRESS,01/03/2013,,0,0
J49,PROGRESS,27/02/2013,,0,555
J50,PROGRESS,13/03/2013,,0,145.6
JOB_010,PROGRESS,09/01/2014,,0,200
JOB_005,PROGRESS,11/12/2013,,0,0
JOB_011,PROGRESS,29/06/2013,,0,0
J51,PROGRESS,12/03/2013,,0,0
J52,PROGRESS,04/04/2013,,0,32800
J53,PROGRESS,09/04/2013,,0,0
J54,PROGRESS,09/04/2013,,0,200
J55,PROGRESS,04/07/2013,,0,40000
J56,PROGRESS,16/04/2013,,0,200000
J57,PROGRESS,25/04/2013,,0,2400
J58,PROGRESS,23/04/2013,,0,7200
J59,PROGRESS,03/05/2013,,0,0
J60,PROGRESS,03/05/2013,,0,0
J61,PROGRESS,07/05/2013,,0,2000
J62,PROGRESS,13/05/2013,,0,0
J63,PROGRESS,16/05/2013,,0,0
J64,PROGRESS,30/05/2013,,0,300
J65,PROGRESS,29/05/2013,,0,0
J66,PROGRESS,05/06/2013,,0,23
J67,PROGRESS,10/06/2013,,0,400
J68,PROGRESS,11/06/2013,,0,0
J69,PROGRESS,11/06/2013,,0,0
J71,PROGRESS,11/06/2013,,0,13747.32
J72,PROGRESS,04/06/2013,,0,1000
J73,PROGRESS,13/06/2013,,0,166
J74,PROGRESS,13/06/2013,,0,0
J75,PROGRESS,07/06/2013,,0,12.75
J76,PROGRESS,07/06/2013,,0,21
J77,PROGRESS,11/06/2013,,0,15
J78,PROGRESS,17/06/2013,,0,0
J79,PROGRESS,17/06/2013,,0,0
J80,PROGRESS,17/06/2013,,0,0
J81,PROGRESS,17/06/2013,,0,0
J82,PROGRESS,19/06/2013,,0,0
J83,PROGRESS,19/06/2013,,0,0
J84,PROGRESS,27/06/2013,,0,0
J85,PROGRESS,02/07/2013,,0,200000
J86,PROGRESS,09/07/2013,,0,74909.8
JOB_111,PROGRESS,19/07/2013,,0,0
J87,PROGRESS,09/07/2013,,0,0
J89,PROGRESS,22/07/2013,,0,0
J90,PROGRESS,16/07/2013,,0,0
J91,PROGRESS,24/07/2013,,0,57
J92,PROGRESS,19/07/2013,,0,0
J93,PROGRESS,27/07/2013,,0,1
J94,PROGRESS,20/07/2013,,0,0
J95,PROGRESS,27/07/2013,,0,1
J96,PROGRESS,30/07/2013,,0,0
J97,PROGRESS,31/07/2013,,0,111
J98,PROGRESS,06/08/2013,,0,2.97
J99,PROGRESS,12/08/2013,,0,0
J100,PROGRESS,23/08/2013,,0,44
1125:1,PROGRESS,11/12/2011,,0,0
J101,PROGRESS,25/09/2013,,0,0
J103,PROGRESS,02/10/2013,,0,0
J104,PROGRESS,03/10/2013,,0,0
J105,PROGRESS,10/10/2013,,0,0
J107,PROGRESS,18/10/2013,,0,0
J108,PROGRESS,18/10/2013,,0,0
J109,PROGRESS,21/10/2013,,0,0
J110,PROGRESS,22/10/2013,,0,0
J111,PROGRESS,22/10/2013,,0,20
J112,PROGRESS,01/11/2013,,0,0
J113,PROGRESS,08/12/2013,,0,0
J114,PROGRESS,09/12/2013,,30,30
J115,PROGRESS,16/12/2013,,0,0
J116,PROGRESS,10/12/2013,,0,0
J117,PROGRESS,10/12/2013,,0,0
J118,PROGRESS,10/12/2013,,0,0
J119,PROGRESS,11/12/2013,,0,1000
J120,PROGRESS,11/12/2013,,20,20
J121,PROGRESS,17/12/2013,,100,100
J122,PROGRESS,24/12/2013,,0,0
J123,PROGRESS,24/12/2013,,0,0
J124,PROGRESS,24/12/2013,,0,0
J125,PROGRESS,24/12/2013,,0,0
J126,PROGRESS,17/12/2013,,0,144
J128,PROGRESS,17/12/2013,,0,0
J129,PROGRESS,27/12/2013,,0,0
J130,PROGRESS,13/01/2014,,0,0
J131,PROGRESS,14/01/2014,,0,10824
J132,PROGRESS,15/01/2014,,0,0
J133,PROGRESS,15/01/2014,,0,0
J134,PROGRESS,16/01/2014,,500,500
J135,PROGRESS,17/01/2014,,0,100
J136,PROGRESS,17/01/2014,,0,200
J137,PROGRESS,22/01/2014,,0,242
J138,PROGRESS,30/01/2014,,0,3
J139,PROGRESS,23/01/2014,,0,0
J140,PROGRESS,24/04/2014,,0,13
J141,PROGRESS,10/02/2014,,0,110
J142,PROGRESS,18/02/2014,,0,0
J143,PROGRESS,25/02/2014,,50,50
J144,PROGRESS,25/02/2014,,50,50
J145,PROGRESS,28/02/2014,,0,300
J146,PROGRESS,04/03/2014,,0,1000
J147,PROGRESS,05/03/2014,,0,0
J149,PROGRESS,18/03/2014,,0,0
J150,PROGRESS,24/03/2014,,0,33
J151,PROGRESS,24/03/2014,,0,0
J152,PROGRESS,26/03/2014,,4600,4050
J153,PROGRESS,03/04/2014,,0,20
J154,PROGRESS,07/04/2014,,0,66
J155,PROGRESS,09/04/2014,,0,0
J156,PROGRESS,09/04/2014,,0,0
J157,PROGRESS,09/04/2014,,0,2
J158,PROGRESS,11/04/2014,,0,0
J159,PROGRESS,14/04/2014,,0,0
J160,PROGRESS,14/04/2014,,0,0
J161,PROGRESS,23/04/2014,,850,850
J162,PROGRESS,24/04/2014,,0,1
J163,PROGRESS,24/04/2014,,0,1
J164,PROGRESS,29/04/2014,,0,484
J166,PROGRESS,30/04/2014,,0,0
J167,PROGRESS,07/05/2014,,0,0
J168,PROGRESS,12/05/2014,,0,33
J169,PROGRESS,13/05/2014,,0,0
J170,PROGRESS,15/05/2014,,0,100
J171,PROGRESS,11/06/2014,,0,0
J172,PROGRESS,16/06/2014,,0,0
J173,PROGRESS,24/06/2014,,0,12
J174,PROGRESS,24/06/2014,,0,44
J175,PROGRESS,26/06/2014,,0,0
J176,PROGRESS,26/06/2014,,0,1
J177,PROGRESS,02/07/2014,,0,0
J178,PROGRESS,09/07/2014,,0,112
J179,PROGRESS,09/07/2014,,0,0
J180,PROGRESS,09/07/2014,,0,0
J181,PROGRESS,11/07/2014,,0,0
J182,PROGRESS,16/07/2014,,0,2
J183,PROGRESS,17/07/2014,,0,0
J184,PROGRESS,18/07/2014,,12,12
J185,PROGRESS,22/07/2014,,0,33
J186,PROGRESS,23/07/2014,,0,0
J187,PROGRESS,29/07/2014,,350,350
J188,PROGRESS,31/07/2014,,0,11270.86
J189,PROGRESS,06/08/2014,,0,32
J191,PROGRESS,14/08/2014,,35,35
J192,PROGRESS,14/08/2014,,0,0
J193,PROGRESS,18/08/2014,,0,20
J194,PROGRESS,19/08/2014,,0,0
J195,PROGRESS,19/08/2014,,175,100
J196,PROGRESS,02/09/2014,,0,0
J197,PROGRESS,04/09/2014,,0,0
J198,PROGRESS,09/09/2014,,0,2000
J199,PROGRESS,18/09/2014,,0,0
J200,PROGRESS,23/09/2014,,0,200
J201,PROGRESS,24/09/2014,,0,0
J202,PROGRESS,07/10/2014,,0,1476
J204,PROGRESS,07/10/2014,,0,0
J205,PROGRESS,30/10/2014,,0,0
J206,PROGRESS,14/10/2014,,0,100300
J207,PROGRESS,16/10/2014,,0,100
J208,PROGRESS,16/10/2014,,0,146.11
J209,PROGRESS,29/10/2014,,0,0
J210,PROGRESS,06/11/2014,,0,0
J211,PROGRESS,10/11/2014,,0,0
J212,PROGRESS,11/11/2014,,0,900
J213,PROGRESS,13/11/2014,,0,150
J214,PROGRESS,13/11/2014,,1500,2500
J215,PROGRESS,13/05/2016,,0,5250
J216,PROGRESS,13/11/2014,,0,30
J217,PROGRESS,17/11/2014,,0,0
J218,PROGRESS,17/11/2014,,0,0
J219,PROGRESS,19/11/2014,,0,0
J220,PROGRESS,19/11/2014,,0,0
J221,PROGRESS,19/11/2014,,0,0
2015T1000,PROGRESS,24/11/2014,,0,0
2015T1001,PROGRESS,31/05/2017,,155,442
2015T1002,PROGRESS,28/02/2015,,25,110
2015T1003,PROGRESS,01/12/2014,,0,100
2015T1004,PROGRESS,01/12/2014,,0,11
2015T1005,PROGRESS,15/12/2014,,0,0
2015T1006,PROGRESS,14/01/2015,,0,3
2015T1007,PROGRESS,20/01/2015,,0,2
2015T1008,PROGRESS,23/01/2015,,230000,548
2015T1009,PROGRESS,28/01/2015,,0,12
2015T1010,PROGRESS,28/01/2015,,0,12
2015T1011,PROGRESS,30/01/2015,,0,0
2015T1012,PROGRESS,24/02/2015,,0,20
2015T1013,PROGRESS,14/10/2014,,0,700
2015T1014,PROGRESS,26/02/2015,,50,100
2015T1015,PROGRESS,27/02/2015,,0,104
2015T1016,PROGRESS,25/03/2015,,140,16000
2015T1017,PROGRESS,26/03/2015,,0,0
2015T1018,PROGRESS,02/04/2015,,0,0
2015T1019,PROGRESS,26/03/2015,,0,0
2015T1021,PROGRESS,01/05/2015,,50,75
2015T1022,PROGRESS,14/05/2015,,35,35
2015T1023,PROGRESS,18/05/2015,,0,0
2015T1024,PROGRESS,18/05/2015,,0,0
2015T1025,PROGRESS,27/05/2015,,0,1000
2015T1027,PROGRESS,27/05/2015,,0,11
2015T1028,PROGRESS,29/05/2015,,0,0
2015T1029,PROGRESS,03/06/2015,,0,0
2015T1030,PROGRESS,10/06/2015,,90,45
2015T1031,PROGRESS,23/06/2015,,0,0
2015T1032,PROGRESS,26/06/2015,,0,0
2015T1033,PROGRESS,03/07/2015,,0,1231
2015T1034,PROGRESS,03/07/2015,,0,213213
2015T1035,PROGRESS,09/07/2015,,0,0
2015T1037,PROGRESS,30/07/2015,,0,0
2015T1038,PROGRESS,26/08/2015,,0,100
2015T1039,PROGRESS,26/08/2015,,0,0
2015T1040,PROGRESS,31/08/2015,,0,0
2015T1041,PROGRESS,10/09/2015,,0,0
2015T1042,PROGRESS,11/09/2015,,0,24
2015T1043,PROGRESS,17/09/2015,,0,0
2015T1044,PROGRESS,06/10/2015,,0,0
2015T1045,PROGRESS,29/10/2015,,0,0
2015T1046,PROGRESS,08/11/2015,,0,2
2015T1047,PROGRESS,01/12/2015,,0,0
2015T1048,PROGRESS,16/12/2015,,0,0
2015T1049,PROGRESS,02/02/2016,,0,140000
2015T1050,PROGRESS,03/02/2016,,1980,2739
2015T1051,PROGRESS,03/02/2016,,1980,1980
2015T1052,PROGRESS,08/02/2016,,0,22
2015T1053,PROGRESS,17/02/2016,,0,0
2015T1054,PROGRESS,18/02/2016,,0,0
2015T1055,PROGRESS,22/02/2016,,0,467
2015T1056,PROGRESS,23/02/2016,,0,0
2015T1057,PROGRESS,24/02/2016,,0,0
2015T1058,PROGRESS,28/02/2016,,180,445
2015T1059,PROGRESS,06/03/2016,,0,4
2015T1060,PROGRESS,01/03/2016,,0,0
2015T1061,PROGRESS,07/03/2016,,0,22
2015T1062,PROGRESS,07/03/2016,,14,25
2015T1063,PROGRESS,06/03/2016,,0,8.11
2015T1064,PROGRESS,21/03/2016,,0,100
2015T1065,PROGRESS,03/04/2016,,0,984
2015T1066,PROGRESS,03/04/2016,,0,246
2015T1067,PROGRESS,30/03/2016,,0,0
2015T1068,PROGRESS,31/03/2016,,0,0
2015T1070,PROGRESS,24/04/2017,,3060,450
2015T1071,PROGRESS,03/05/2016,,0,0
2015T1072,PROGRESS,05/05/2016,,0,2000
2015T1073,PROGRESS,05/05/2016,,0,2000
2015T1074,PROGRESS,05/05/2016,,0,2000
2015T1076,PROGRESS,09/05/2016,,500,500
2015T1077,PROGRESS,17/05/2016,,0,0
2015T1078,PROGRESS,31/10/2016,,0,0
2015T1079,PROGRESS,04/07/2016,,0,0
2015T1080,PROGRESS,07/07/2016,,0,0
2015T1081,PROGRESS,19/07/2016,,0,0
2015T1082,PROGRESS,19/07/2016,,0,0
2015T1083,PROGRESS,26/07/2016,,0,0
2015T1084,PROGRESS,27/07/2016,,0,0
2015T1085,PROGRESS,29/08/2016,,0,0
2015T1086,PROGRESS,15/08/2016,,0,0
2015T1087,PROGRESS,22/08/2016,,0,0
2015T1088,PROGRESS,11/07/2016,,0,0
2015T1089,PROGRESS,12/07/2016,,0,0
2015T1090,PROGRESS,11/07/2015,,0,0
2015T1091,PROGRESS,10/07/2015,,0,0
2015T1092,PROGRESS,23/08/2016,,0,500
2015T1093,PROGRESS,23/08/2016,,0,1.49
2015T1094,PROGRESS,14/09/2016,,0,2200
2015T1095,PROGRESS,21/09/2016,,0,1111
2015T1096,PROGRESS,29/11/2016,,0,0
2015T1097,PROGRESS,10/10/2016,,0,0
2015T1098,PROGRESS,10/10/2016,,0,156
2015T1100,PROGRESS,18/10/2016,,0,0
2015T1102,PROGRESS,20/10/2016,,0,0
2015T1103,PROGRESS,30/10/2016,,0,0
2015T1104,PROGRESS,07/11/2016,,0,0
2015T1105,PROGRESS,07/11/2016,,0,0
2015T1106,PROGRESS,07/11/2016,,0,0
2015T1107,PROGRESS,07/11/2016,,0,0
2015T1108,PROGRESS,08/11/2016,,0,0
2015T1109,PROGRESS,07/12/2016,,0,0
2015T1110,PROGRESS,08/12/2016,,0,0
2015T1111,PROGRESS,19/12/2016,,10,10
2015T1112,PROGRESS,18/12/2016,,0,2153
2015T1113,PROGRESS,28/02/2017,,200,20000
2015T1114,PROGRESS,25/04/2017,,0,0
2015T1115,PROGRESS,10/01/2017,,0,158
2015T1116,PROGRESS,10/01/2017,,0,0
2015T1117,PROGRESS,19/01/2017,,80,44
2015T1118,PROGRESS,09/02/2017,,250,250
2015T1119,PROGRESS,30/03/2017,,4000,80000
2015T1120,PROGRESS,16/02/2017,,10,1000
2015T1121,PROGRESS,23/02/2017,,160,10
2015T1122,PROGRESS,13/03/2017,,75,10
2015T1123,PROGRESS,14/03/2017,,20,20
2015T1124,PROGRESS,27/03/2017,,10,10
2015T1125,PROGRESS,28/03/2017,,134.64,134.64
2015T1126,PROGRESS,26/04/2017,,1240.83,1020
2015T1127,PROGRESS,03/04/2017,,260,30